Id,Title,Director,ReleaseYear,Rating,Genre,Starring,Duration(min),Country,Budget(millionUSD),BoxOffice(millionUSD),NumAwards,Oscar,AppleTV,AmazonPrime,HBOMax,Netflix
1,Parasite,Bong Joon-ho,2019,8.5,"Drama, Thriller","Cho Yeo-jeong, Choi Woo-shik, Jang Hye-jin, Lee Sun-kyun, Park So-dam, Song Kang-ho",132,South Korea,11.4,258.1,50,4,True,True,True,True
2,Mulholland Drive,David Lynch,2001,7.9,"Drama, Mystery","Ann Miller, Justin Theroux, Laura Harring, Naomi Watts, Robert Forster",147,United States,15,20.1,11,0,False,True,False,True
3,There Will Be Blood,Paul Thomas Anderson,2008,8.2,"Drama, Western","Ciaran Hinds, Daniel Day-Lewis, Paul Dano",158,United States,25,76.2,51,9,True,True,True,True
4,In the Mood for Love,Wong Kar‑wai,2000,8.1,"Drama, Romance","Maggie Cheung, Tony Leung Chiu Wai",98,Hong Kong,3,16,12,0,True,True,True,False
5,Moonlight,Barry Jenkins,2016,7.4,Drama,"Alex R. Hibbert, Mahershala Ali, Naomie Harris, Trevante Rhodes",111,United States,4,65.2,35,4,True,True,False,False
6,No Country for Old Men,"Ethan Coen, Joel Coen",2007,8.2,"Crime, Thriller, Western","Javier Bardem, Josh Brolin, Tommy Lee Jones",122,United States,25,171.6,33,4,True,True,False,True
7,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8.4,"Romance, Sci-Fi","Elijah Wood, Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson",108,United States,20,73,9,1,True,True,True,True
8,Get Out,Jordan Peele,2017,7.8,"Horror, Thriller","Allison Williams, Bradley Whitford, Caleb Landry Jones, Catherine Keener, Daniel Kaluuya, Stephen Root",104,United States,4.5,256,24,1,True,True,True,True
9,Spirited Away,Hayao Miyazaki,2001,8.6,"Animation, Fantasy","Daveigh Chase, Miyu Irino, Rumi Hiiragi, Suzanne Pleshette",125,Japan,19.2,396,31,1,True,True,True,True
10,The Social Network,David Fincher,2010,7.8,"Biography, Drama","Andrew Garfield, Jesse Eisenberg, Justin Timberlake, Rooney Mara",120,United States,40,224.9,31,3,True,True,True,True
11,Mad Max: Fury Road,George Miller,2015,8.1,"Action, Sci-Fi","Charlize Theron, Nicholas Hoult, Tom Hardy, Zoë Kravitz",120,Australia,150,380.4,40,6,True,True,True,True
